,risk_gene,MUT_TYPE,q_value,empirical_q_value,PMID,NUMBER_OF_ARTICLES,neighbor_gene,neighbor_is_lit_validated,neighbor_PMID,neighbor_NUMBER_OF_ARTICLES,neighbor_PMIDs
10,BCL6,AMPLIFICATION,1.1060251600493613e-54,0.0116086711831392,"11224600, 11420458, 14685876, 17429099",4.0,HDAC1,True,12239610,1.0,12239610
11,BCL6,AMPLIFICATION,1.1060251600493613e-54,0.0116086711831392,"11224600, 11420458, 14685876, 17429099",4.0,JUNB,True,"11267971, 14674993",2.0,"11267971, 14674993"
12,BCL6,AMPLIFICATION,1.1060251600493613e-54,0.0116086711831392,"11224600, 11420458, 14685876, 17429099",4.0,MYC,True,"11368094, 11911252, 14499691, 16807070, 18000363",5.0,"11368094, 11911252, 14499691, 16807070, 18000363"
13,BCL6,AMPLIFICATION,1.1060251600493613e-54,0.0116086711831392,"11224600, 11420458, 14685876, 17429099",4.0,CD40,True,"11168856, 11675352, 15330155, 15876961, 15878750, 15901281, 16433790, 16630289, 17961770",9.0,"11168856, 11675352, 15330155, 15876961, 15878750, 15901281, 16433790, 16630289, 17961770"
18,BCL6,AMPLIFICATION,1.1060251600493613e-54,0.0116086711831392,"11224600, 11420458, 14685876, 17429099",4.0,BCL2,True,"11162590, 11224600, 11244819, 11420458, 12447651, 15571955, 16001430, 16271081, 16302195, 16564229, 17429099, 17474247, 18447972",13.0,"11162590, 11224600, 11244819, 11420458, 12447651, 15571955, 16001430, 16271081, 16302195, 16564229, 17429099, 17474247, 18447972"
20,BCL6,AMPLIFICATION,1.1060251600493613e-54,0.0116086711831392,"11224600, 11420458, 14685876, 17429099",4.0,PAX5,True,17016584,1.0,17016584
25,BCL6,AMPLIFICATION,1.1060251600493613e-54,0.0116086711831392,"11224600, 11420458, 14685876, 17429099",4.0,CCND2,True,"12112307, 15713710, 16531763, 16676365",4.0,"12112307, 15713710, 16531763, 16676365"
27,BCL6,AMPLIFICATION,1.1060251600493613e-54,0.0116086711831392,"11224600, 11420458, 14685876, 17429099",4.0,CD19,True,"11316463, 15553050, 16757432, 17210522",4.0,"11316463, 15553050, 16757432, 17210522"
31,BCL6,AMPLIFICATION,1.1060251600493613e-54,0.0116086711831392,"11224600, 11420458, 14685876, 17429099",4.0,TP53,True,"11390535, 11445847, 11445859, 11916556, 12589859, 12673364, 12673679, 12702551, 12708486, 12935924, 14689060, 15240783, 15810068, 15965904, 16012721, 16393249, 16455286, 16682429, 16713672, 16847809, 16903330, 16969480, 17258495, 17312781, 17565818, 17638058, 17693665, 17725429, 17908957",29.0,"11390535, 11445847, 11445859, 11916556, 12589859, 12673364, 12673679, 12702551, 12708486, 12935924, 14689060, 15240783, 15810068, 15965904, 16012721, 16393249, 16455286, 16682429, 16713672, 16847809, 16903330, 16969480, 17258495, 17312781, 17565818, 17638058, 17693665, 17725429, 17908957"
33,BCL6,AMPLIFICATION,1.1060251600493613e-54,0.0116086711831392,"11224600, 11420458, 14685876, 17429099",4.0,STAT1,True,"11222718, 12162406, 12963127, 15947106, 16249117, 16449678, 17961551, 18347248",8.0,"11222718, 12162406, 12963127, 15947106, 16249117, 16449678, 17961551, 18347248"
38,BCL6,AMPLIFICATION,1.1060251600493613e-54,0.0116086711831392,"11224600, 11420458, 14685876, 17429099",4.0,CXCR4,True,"12160842, 12519884, 12901795, 14567988, 14693238, 14960230, 15184868, 15201990, 15363550, 15486895, 15837745, 16000558, 16327980, 16836911, 16955398, 17176471, 17671223, 18089812, 18310089, 18312436, 18312436, 18487224",21.0,"12160842, 12519884, 12901795, 14567988, 14693238, 14960230, 15184868, 15201990, 15363550, 15486895, 15837745, 16000558, 16327980, 16836911, 16955398, 17176471, 17671223, 18089812, 18310089, 18312436, 18312436, 18487224"
39,BCL6,AMPLIFICATION,1.1060251600493613e-54,0.0116086711831392,"11224600, 11420458, 14685876, 17429099",4.0,STAT3,True,"11222718, 11426647, 11773428, 12067972, 12162406, 12440226, 12440226, 12532415, 12637586, 12640143, 12782602, 12865943, 12960141, 12963127, 15173005, 15254691, 15374974, 15498875, 15592503, 15613280, 15715937, 15947106, 16158919, 16490172, 16503733, 16642480, 17020778, 17122156, 17145757, 17225522, 17325127, 17498291, 17525119, 17566705, 17634553, 17761947, 17822622, 17826306, 17961551, 18172861, 18204781, 18326051",41.0,"11222718, 11426647, 11773428, 12067972, 12162406, 12440226, 12440226, 12532415, 12637586, 12640143, 12782602, 12865943, 12960141, 12963127, 15173005, 15254691, 15374974, 15498875, 15592503, 15613280, 15715937, 15947106, 16158919, 16490172, 16503733, 16642480, 17020778, 17122156, 17145757, 17225522, 17325127, 17498291, 17525119, 17566705, 17634553, 17761947, 17822622, 17826306, 17961551, 18172861, 18204781, 18326051"
40,BCL6,AMPLIFICATION,1.1060251600493613e-54,0.0116086711831392,"11224600, 11420458, 14685876, 17429099",4.0,CXCL13,True,17504990,1.0,17504990
41,BCL6,AMPLIFICATION,1.1060251600493613e-54,0.0116086711831392,"11224600, 11420458, 14685876, 17429099",4.0,CD4,True,"11104591, 11104591, 11174380, 11450684, 12541675, 16242001, 16425367, 16557179, 16970087, 17979491, 18180893, 18370955",11.0,"11104591, 11104591, 11174380, 11450684, 12541675, 16242001, 16425367, 16557179, 16970087, 17979491, 18180893, 18370955"
42,BCL6,AMPLIFICATION,1.1060251600493613e-54,0.0116086711831392,"11224600, 11420458, 14685876, 17429099",4.0,CCND1,True,"11470749, 11859213, 11958128, 12649172, 14499691, 14581353, 14586645, 14603450, 14697637, 15195525, 15846092, 16001430, 16235239, 16446704, 16446704, 16490596, 16807070, 16815198, 16906560, 16954163, 17065789, 17487429, 17641416, 18251939, 18398822, 18405350",25.0,"11470749, 11859213, 11958128, 12649172, 14499691, 14581353, 14586645, 14603450, 14697637, 15195525, 15846092, 16001430, 16235239, 16446704, 16446704, 16490596, 16807070, 16815198, 16906560, 16954163, 17065789, 17487429, 17641416, 18251939, 18398822, 18405350"
54,BCL6,AMPLIFICATION,1.1060251600493613e-54,0.0116086711831392,"11224600, 11420458, 14685876, 17429099",4.0,FAS,True,"11244819, 11396137, 11565907, 11595539, 11956107, 12170454, 12196918, 12324706, 12440162, 12450166, 12473607, 12504573, 12599437, 12740905, 12845662, 12933692, 15172638, 15172643, 15279653, 15596295, 15598589, 15657571, 15782141, 15852789, 15914317, 16253770, 16888677, 16905260, 17070096, 17187659, 17315195, 17425843, 17825601, 17975141, 17996216, 18162459, 18410580, 18528705",38.0,"11244819, 11396137, 11565907, 11595539, 11956107, 12170454, 12196918, 12324706, 12440162, 12450166, 12473607, 12504573, 12599437, 12740905, 12845662, 12933692, 15172638, 15172643, 15279653, 15596295, 15598589, 15657571, 15782141, 15852789, 15914317, 16253770, 16888677, 16905260, 17070096, 17187659, 17315195, 17425843, 17825601, 17975141, 17996216, 18162459, 18410580, 18528705"
57,BCL6,AMPLIFICATION,1.1060251600493613e-54,0.0116086711831392,"11224600, 11420458, 14685876, 17429099",4.0,CD79A,True,"11755827, 12574844, 12644768, 12786898, 15003473, 16757432, 17667166",7.0,"11755827, 12574844, 12644768, 12786898, 15003473, 16757432, 17667166"
58,BCL6,AMPLIFICATION,1.1060251600493613e-54,0.0116086711831392,"11224600, 11420458, 14685876, 17429099",4.0,LMO2,True,18447972,1.0,18447972
61,BCL6,AMPLIFICATION,1.1060251600493613e-54,0.0116086711831392,"11224600, 11420458, 14685876, 17429099",4.0,FOXP3,True,"15714205, 16328385, 17262084, 17691114",4.0,"15714205, 16328385, 17262084, 17691114"
62,BCL6,AMPLIFICATION,1.1060251600493613e-54,0.0116086711831392,"11224600, 11420458, 14685876, 17429099",4.0,EZH2,True,18326020,1.0,18326020
63,BCL6,AMPLIFICATION,1.1060251600493613e-54,0.0116086711831392,"11224600, 11420458, 14685876, 17429099",4.0,CD5,True,"11557777, 11697516, 12574844, 12973287, 14578559, 14633456, 16242001, 16536318, 16557179, 16703183, 17210519, 17667166, 17979491, 18370955",14.0,"11557777, 11697516, 12574844, 12973287, 14578559, 14633456, 16242001, 16536318, 16557179, 16703183, 17210519, 17667166, 17979491, 18370955"
68,BCL6,AMPLIFICATION,1.1060251600493613e-54,0.0116086711831392,"11224600, 11420458, 14685876, 17429099",4.0,CDKN1B,True,"17030811, 18288099",2.0,"17030811, 18288099"
70,CLDN1,AMPLIFICATION,6.591105366473553e-53,0.0116086711831392,"15170668, 17091452",2.0,CTNNB1,True,"15195113, 16001430, 17131411, 18044981",4.0,"15195113, 16001430, 17131411, 18044981"
85,CLDN1,AMPLIFICATION,6.591105366473553e-53,0.0116086711831392,"15170668, 17091452",2.0,EPHA2,True,"12494475, 16309192, 18030354, 18425361, 18485799",5.0,"12494475, 16309192, 18030354, 18425361, 18485799"
86,CLDN1,AMPLIFICATION,6.591105366473553e-53,0.0116086711831392,"15170668, 17091452",2.0,CD9,True,"14559986, 14735195, 15041054",3.0,"14559986, 14735195, 15041054"
91,CLDN1,AMPLIFICATION,6.591105366473553e-53,0.0116086711831392,"15170668, 17091452",2.0,CDH1,True,"11555590, 12579297, 12632081, 15073103, 15073117, 15289362, 15840741, 16263813, 17201146, 17724139",10.0,"11555590, 12579297, 12632081, 15073103, 15073117, 15289362, 15840741, 16263813, 17201146, 17724139"
95,CLDN1,AMPLIFICATION,6.591105366473553e-53,0.0116086711831392,"15170668, 17091452",2.0,CLDN3,True,16685400,1.0,16685400
104,FANCB,DELETION,3.07824363509455e-08,0.0253930555817348,17409780,1.0,FANCD2,True,"14517836, 17321670",2.0,"14517836, 17321670"
110,FANCB,DELETION,3.07824363509455e-08,0.0253930555817348,17409780,1.0,MUS81,True,17118488,1.0,17118488
112,FANCB,DELETION,3.07824363509455e-08,0.0253930555817348,17409780,1.0,FANCC,True,15107617,1.0,15107617
117,FANCB,DELETION,3.07824363509455e-08,0.0253930555817348,17409780,1.0,BRCA2,True,"11807777, 14574011, 14647419, 14689060, 15107617, 15300854, 16466850, 16623759, 17724471",9.0,"11807777, 14574011, 14647419, 14689060, 15107617, 15300854, 16466850, 16623759, 17724471"
118,FANCB,DELETION,3.07824363509455e-08,0.0253930555817348,17409780,1.0,HES1,True,12539049,1.0,12539049
120,FANCB,DELETION,3.07824363509455e-08,0.0253930555817348,17409780,1.0,FANCA,True,16982972,1.0,16982972
122,FANCB,DELETION,3.07824363509455e-08,0.0253930555817348,17409780,1.0,FANCF,True,"14647419, 16466850, 17409780",3.0,"14647419, 16466850, 17409780"
123,FANCB,DELETION,3.07824363509455e-08,0.0253930555817348,17409780,1.0,FANCG,True,"15107617, 16466850, 16982972",3.0,"15107617, 16466850, 16982972"
124,FANCB,DELETION,3.07824363509455e-08,0.0253930555817348,17409780,1.0,ERCC1,True,"11900225, 12704932, 15173087, 15788669, 16054657, 17976974, 18430179, 18645262",8.0,"11900225, 12704932, 15173087, 15788669, 16054657, 17976974, 18430179, 18645262"
126,FANCB,DELETION,3.07824363509455e-08,0.0253930555817348,17409780,1.0,BRCA1,True,"11807777, 12810651, 14574011, 14647419, 14689060, 15105900, 15300854, 16466850, 17321670, 18325101",10.0,"11807777, 12810651, 14574011, 14647419, 14689060, 15105900, 15300854, 16466850, 17321670, 18325101"
130,PIK3CA,"AMPLIFICATION, SOMATIC","4.9013845356499375e-54, 4.6307549428396854e-18","0.0116086711831392, 0.0","11358835, 11836556, 11959846, 14581353, 15543611, 15586224, 15700036, 16380997, 16676365, 16807070, 16815198, 17549376, 17848307, 17989125, 17990317, 18376308, 18447972",17.0,MTOR,True,"15355912, 15379322, 15833854, 16927414, 17047074, 17342092, 18089792, 18316583",8.0,"15355912, 15379322, 15833854, 16927414, 17047074, 17342092, 18089792, 18316583"
132,PIK3CA,"AMPLIFICATION, SOMATIC","4.9013845356499375e-54, 4.6307549428396854e-18","0.0116086711831392, 0.0","11358835, 11836556, 11959846, 14581353, 15543611, 15586224, 15700036, 16380997, 16676365, 16807070, 16815198, 17549376, 17848307, 17989125, 17990317, 18376308, 18447972",17.0,ALK,True,"11485898, 15214912, 15602716, 16796648, 17414097",5.0,"11485898, 15214912, 15602716, 16796648, 17414097"
133,PIK3CA,"AMPLIFICATION, SOMATIC","4.9013845356499375e-54, 4.6307549428396854e-18","0.0116086711831392, 0.0","11358835, 11836556, 11959846, 14581353, 15543611, 15586224, 15700036, 16380997, 16676365, 16807070, 16815198, 17549376, 17848307, 17989125, 17990317, 18376308, 18447972",17.0,PTEN,True,"11297621, 11401316, 11502798, 11735811, 11773428, 12047763, 12075083, 12119278, 12203792, 12224530, 12714585, 14574011, 15231710, 15543611, 15680400, 15684005, 15707585, 15800944, 15831044, 15911105, 15975525, 16075977, 16738322, 16889486, 16946009, 16964417, 17067457, 17283127, 17345711, 17898811, 17958724, 17970065, 18260377, 18281487",34.0,"11297621, 11401316, 11502798, 11735811, 11773428, 12047763, 12075083, 12119278, 12203792, 12224530, 12714585, 14574011, 15231710, 15543611, 15680400, 15684005, 15707585, 15800944, 15831044, 15911105, 15975525, 16075977, 16738322, 16889486, 16946009, 16964417, 17067457, 17283127, 17345711, 17898811, 17958724, 17970065, 18260377, 18281487"
135,PIK3CA,"AMPLIFICATION, SOMATIC","4.9013845356499375e-54, 4.6307549428396854e-18","0.0116086711831392, 0.0","11358835, 11836556, 11959846, 14581353, 15543611, 15586224, 15700036, 16380997, 16676365, 16807070, 16815198, 17549376, 17848307, 17989125, 17990317, 18376308, 18447972",17.0,AKT2,True,"15543611, 16002527",2.0,"15543611, 16002527"
137,PIK3CA,"AMPLIFICATION, SOMATIC","4.9013845356499375e-54, 4.6307549428396854e-18","0.0116086711831392, 0.0","11358835, 11836556, 11959846, 14581353, 15543611, 15586224, 15700036, 16380997, 16676365, 16807070, 16815198, 17549376, 17848307, 17989125, 17990317, 18376308, 18447972",17.0,FYN,True,12771142,1.0,12771142
138,PIK3CA,"AMPLIFICATION, SOMATIC","4.9013845356499375e-54, 4.6307549428396854e-18","0.0116086711831392, 0.0","11358835, 11836556, 11959846, 14581353, 15543611, 15586224, 15700036, 16380997, 16676365, 16807070, 16815198, 17549376, 17848307, 17989125, 17990317, 18376308, 18447972",17.0,FGFR3,True,"11605053, 12075207, 15165306",3.0,"11605053, 12075207, 15165306"
