,gene_name,MUT_TYPE,q_value,empirical_q_value,GENE,PMID,NUMBER_OF_ARTICLES,literature_validated_connected_genes,num_literature_validated_connected_genes,PMIDs_connected_genes
0,ABCC5,AMPLIFICATION,2.0584024908359247e-200,0.0043610886125468,ABCC5,18359711,1.0,,0.0,
1,BCL6,AMPLIFICATION,5.884151323631562e-198,0.0043610886125468,BCL6,"11224600, 11420458, 14685876, 17429099",4.0,"STAT3, STAT1, CDKN1B, CCND1, FAS, JUNB, EZH2, LMO2, CCND2, BCL2, PAX5, HDAC1, TP53, CD19, CD4, FOXP3, CD79A, CXCR4, CXCL13, MYC, CD5, CD40",22.0,"11557777, 11697516, 12574844, 12973287, 14578559, 14633456, 16242001, 16536318, 16557179, 16703183, 17210519, 17667166, 17979491, 18370955, 11316463, 15553050, 16757432, 17210522, 17016584, 18326020, 17030811, 18288099, 11244819, 11396137, 11565907, 11595539, 11956107, 12170454, 12196918, 12324706, 12440162, 12450166, 12473607, 12504573, 12599437, 12740905, 12845662, 12933692, 15172638, 15172643, 15279653, 15596295, 15598589, 15657571, 15782141, 15852789, 15914317, 16253770, 16888677, 16905260, 17070096, 17187659, 17315195, 17425843, 17825601, 17975141, 17996216, 18162459, 18410580, 18528705, 11755827, 12574844, 12644768, 12786898, 15003473, 16757432, 17667166, 15714205, 16328385, 17262084, 17691114, 11162590, 11224600, 11244819, 11420458, 12447651, 15571955, 16001430, 16271081, 16302195, 16564229, 17429099, 17474247, 18447972, 12239610, 12112307, 15713710, 16531763, 16676365, 11168856, 11675352, 15330155, 15876961, 15878750, 15901281, 16433790, 16630289, 17961770, 11104591, 11104591, 11174380, 11450684, 12541675, 16242001, 16425367, 16557179, 16970087, 17979491, 18180893, 18370955, 11368094, 11911252, 14499691, 16807070, 18000363, 11470749, 11859213, 11958128, 12649172, 14499691, 14581353, 14586645, 14603450, 14697637, 15195525, 15846092, 16001430, 16235239, 16446704, 16446704, 16490596, 16807070, 16815198, 16906560, 16954163, 17065789, 17487429, 17641416, 18251939, 18398822, 18405350, 11390535, 11445847, 11445859, 11916556, 12589859, 12673364, 12673679, 12702551, 12708486, 12935924, 14689060, 15240783, 15810068, 15965904, 16012721, 16393249, 16455286, 16682429, 16713672, 16847809, 16903330, 16969480, 17258495, 17312781, 17565818, 17638058, 17693665, 17725429, 17908957, 17504990, 18447972, 11222718, 12162406, 12963127, 15947106, 16249117, 16449678, 17961551, 18347248, 11222718, 11426647, 11773428, 12067972, 12162406, 12440226, 12440226, 12532415, 12637586, 12640143, 12782602, 12865943, 12960141, 12963127, 15173005, 15254691, 15374974, 15498875, 15592503, 15613280, 15715937, 15947106, 16158919, 16490172, 16503733, 16642480, 17020778, 17122156, 17145757, 17225522, 17325127, 17498291, 17525119, 17566705, 17634553, 17761947, 17822622, 17826306, 17961551, 18172861, 18204781, 18326051, 11267971, 14674993, 12160842, 12519884, 12901795, 14567988, 14693238, 14960230, 15184868, 15201990, 15363550, 15486895, 15837745, 16000558, 16327980, 16836911, 16955398, 17176471, 17671223, 18089812, 18310089, 18312436, 18312436, 18487224"
2,CASP8,SOMATIC,1.4328145167446222e-45,0.005960073448722,CASP8,16857411,1.0,"FADD, TLR4, FAS, CASP2, ATM, CYLD, MYC, TLR3, PTEN, CASP9, MDM2, PTGS2, TRAF1, VIM, BCL2, BID, CDK2, TNFRSF1A, TNF, TRAF2, TP53, IL6, MMP9, ANXA5, MAPK8, RIPK3, TRADD, BCL2L1, RELA, CASP10, CDK1, EGFR, CTNNB1, AKT1, SRC, IL1B, BAX, XIAP, GAPDH",39.0,"16953224, 18497982, 15623624, 17356794, 17785205, 18334025, 18447972, 11005569, 11172589, 11271628, 11299769, 11312158, 11351299, 11504832, 11579389, 11683351, 11745431, 11787776, 11791242, 11866913, 11927016, 11955367, 11956107, 12150516, 12172574, 12196918, 12478005, 12527938, 12532785, 12599437, 12760773, 12833692, 12883724, 12917024, 12933692, 12953308, 12953781, 14511359, 14511771, 14680585, 14687509, 14719078, 14963406, 15188026, 15283295, 15297413, 15298726, 15375604, 15454773, 15530461, 15540218, 15596295, 15599350, 15619691, 15641988, 15678370, 15769983, 15782141, 15844830, 15914317, 15928664, 16082193, 16158941, 16172218, 16196285, 16215682, 16271081, 16309240, 16360381, 16391850, 16454809, 16464633, 16564229, 16905260, 17005413, 17013542, 17070096, 17252232, 17368593, 17384243, 17455471, 17476972, 17634542, 17722957, 17803695, 17825529, 17879533, 17901590, 17989878, 18021179, 18210755, 18261626, 18522637, 18635390, 11244819, 11396137, 11565907, 11595539, 11956107, 12170454, 12196918, 12324706, 12440162, 12450166, 12473607, 12504573, 12599437, 12740905, 12845662, 12933692, 15172638, 15172643, 15279653, 15596295, 15598589, 15657571, 15782141, 15852789, 15914317, 16253770, 16888677, 16905260, 17070096, 17187659, 17315195, 17425843, 17825601, 17975141, 17996216, 18162459, 18410580, 18528705, 11297621, 11401316, 11502798, 11735811, 11773428, 12047763, 12075083, 12119278, 12203792, 12224530, 12714585, 14574011, 15231710, 15543611, 15680400, 15684005, 15707585, 15800944, 15831044, 15911105, 15975525, 16075977, 16738322, 16889486, 16946009, 16964417, 17067457, 17283127, 17345711, 17898811, 17958724, 17970065, 18260377, 18281487, 15221937, 16807070, 16888677, 17362036, 17492757, 17940507, 18224251, 18347248, 12543167, 15947106, 11162590, 11224600, 11244819, 11420458, 12447651, 15571955, 16001430, 16271081, 16302195, 16564229, 17429099, 17474247, 18447972, 15034017, 15947106, 11926139, 12548461, 16888677, 18197435, 15226608, 16953224, 12532415, 14581353, 15896313, 16002527, 16778075, 17974918, 15311506, 18030354, 11368094, 11911252, 14499691, 16807070, 18000363, 16857411, 17540725, 17722957, 18497982, 12740905, 15598589, 16715129, 16888677, 17026852, 17187659, 17425843, 17975136, 17996216, 18268491, 18497982, 12890376, 15352039, 16230421, 16315869, 18043285, 11287285, 12163389, 12450166, 15803189, 17611394, 17630106, 18022123, 18309650, 18309651, 18422599, 18497982, 11272092, 15645429, 16525614, 11390535, 11445847, 11445859, 11916556, 12589859, 12673364, 12673679, 12702551, 12708486, 12935924, 14689060, 15240783, 15810068, 15965904, 16012721, 16393249, 16455286, 16682429, 16713672, 16847809, 16903330, 16969480, 17258495, 17312781, 17565818, 17638058, 17693665, 17725429, 17908957, 11531258, 11721631, 11820589, 11850840, 11859706, 11937319, 11948421, 12052755, 12089228, 12110345, 12160248, 12527938, 12563945, 12605367, 12658736, 12747978, 12926130, 14694526, 14720195, 15028021, 15200480, 15448710, 15693850, 16142358, 16369916, 16564229, 16734736, 17214352, 17273794, 17321453, 17362036, 17416856, 17651783, 17671677, 18053639, 18332873, 18485798, 11000584, 17445779, 15226608, 11173137, 11221831, 11235991, 11303632, 11350885, 11389080, 11448349, 11479234, 11556855, 11568571, 11597399, 11597400, 11668514, 11673692, 11673832, 11677653, 11706397, 11706420, 11727507, 11728233, 11751491, 11755824, 11846729, 11890870, 11893453, 11895923, 11904986, 11905034, 11911252, 11920518, 11939730, 11992543, 12011992, 12063543, 12112535, 12138239, 12142091, 12147092, 12167415, 12174340, 12187077, 12202783, 12220351, 12228201, 12414665, 12415634, 12422310, 12422313, 12440226, 12509799, 12512382, 12515612, 12520461, 12541404, 12544258, 12583831, 12587379, 12599217, 12607604, 12647989, 12673202, 12696248, 12738995, 12743152, 12782602, 12782800, 12820779, 12826036, 12833132, 12860957, 12865874, 12912971, 12952019, 12966511, 13129707, 13679857, 14500405, 14519647, 14528090, 14530163, 14581353, 14581378, 14601066, 14603452, 14607328, 14612544, 14649542, 14662414, 14732836, 14751528, 14763138, 14967456, 14967457, 14967462, 14977086, 14981927, 14988746, 14997212, 15057134, 15103197, 15115300, 15120370, 15142631, 15161032, 15173005, 15194221, 15197768, 15199094, 15208356, 15212612, 15231207, 15238978, 15254682, 15256466, 15338866, 15450723, 15473298, 15476268, 15520175, 15520205, 15592685, 15599851, 15608420, 15613446, 15623643, 15638964, 15652339, 15659782, 15672286, 15717992, 15736426, 15753456, 15756022, 15774576, 15785737, 15791567, 15796181, 15800944, 15804620, 15809707, 15816106, 15821783, 15827337, 15833860, 15865067, 15871288, 15878750, 15878755, 15887238, 15923166, 15930290, 15934280, 15986037, 15987992, 16004931, 16005600, 16007067, 16050785, 16082192, 16088519, 16103303, 16140980, 16144930, 16158919, 16161046, 16183941, 16198049, 16207530, 16258434, 16264262, 16273222, 16287490, 16314626, 16330971, 16343364, 16357156, 16428508, 16472704, 16488438, 16495180, 16540898, 16551906, 16552236, 16562649, 16565089, 16630292, 16641105, 16644882, 16702519, 16722544, 16731604, 16737616, 16740767, 16750322, 16757203, 16763281, 16788977, 16807070, 16818711, 16857823, 16890793, 16904111, 16919867, 16922611, 16984384, 16986486, 17078054, 17079462, 17096332, 17098420, 17121916, 17122988, 17134359, 17141073, 17143494, 17178880, 17189989, 17200208, 17205528, 17208308, 17211865, 17224925, 17236202, 17250463, 17258495, 17273794, 17310348, 17369752, 17404024, 17410004, 17412519, 17431103, 17487368, 17520580, 17520766, 17538163, 17591829, 17591832, 17592548, 17608727, 17609492, 17618045, 17631646, 17638894, 17653341, 17660872, 17671674, 17674766, 17685120, 17697551, 17723181, 17762933, 17826531, 17848272, 17848290, 17877424, 17878104, 17888033, 17904355, 17909831, 17936670, 17936675, 17940077, 17940507, 17949783, 17956162, 17961551, 17964995, 17974918, 17996216, 18025070, 18045070, 18045071, 18061531, 18172732, 18199957, 18202792, 18203445, 18225590, 18236164, 18248834, 18268492, 18302259, 18307254, 18309947, 18316548, 18326051, 18329328, 18366301, 18369180, 18377832, 18383530, 18413807, 18442098, 18636200, 18645125, 11267947, 11453659, 11555592, 11585773, 12017338, 12480548, 15543230, 15833870, 16248248, 16422547, 16452236, 16496417, 12893698, 15195113, 16001430, 17131411, 18044981, 17525119, 17786279, 18204787, 16900776, 18497946, 17961551, 11977651, 12541362, 14733785, 14989932, 15033492, 15330177, 15362205, 16086722, 16145342, 16823875, 17132224, 17913445, 18045645, 18254958, 18483282, 18484684, 18485796"
3,CDH7,SOMATIC,0.0040235357729719,0.005960073448722,CDH7,12118382,1.0,"CDH3, CDH11, CDH6, CTNNB1",4.0,"15735049, 16321566, 18490578, 15947106, 15195113, 16001430, 17131411, 18044981"
4,CDKN2A,"DELETION, SOMATIC","0.0, 2.518854531227791e-131","0.0191896189995049, 0.005960073448722",CDKN2A,"11309301, 11720478, 12459644, 12632081, 12684406, 14586645, 14654786, 14991744, 15083191, 15495191, 16278815, 16713672, 16849682, 17079134, 17117177, 18413807",16.0,"CDK4, SMAD3, CDK6, CCND1, NRAS, AURKA, CDH1, MCM5, E2F1, NOTCH1, ATM, HDAC1, PIK3CA, MCM2, ERBB2, MYC, SKP2, NF1, ETS1, SMAD4, PTEN, MDM2, CDK5, HRAS, RUNX3, SOX2, BCL2, TOP1, CDK2, BRCA2, CDKN1A, MGMT, RB1, CDKN1B, UCHL1, CDH13, CCND2, EZH2, TP53, MLH1, CDC7, CHEK1, TERT, DNMT3B, BRCA1, MAPK8, RASSF1, MTAP, FHIT, DNMT1, PDGFRA, MDM4, RELA, BCL2L1, CDKN2B, FGFR3, CDK1, KRAS, CTNNB1, EGFR, AKT1, SRC, CCNE1, BRAF",64.0,"11358835, 11836556, 11959846, 14581353, 15543611, 15586224, 15700036, 16380997, 16676365, 16807070, 16815198, 17549376, 17848307, 17989125, 17990317, 18376308, 18447972, 14997203, 17406368, 11839717, 15899946, 16547620, 11585732, 12579266, 14707456, 15579456, 15767556, 16043384, 16050017, 16077910, 16757206, 17017186, 17345711, 17431674, 17639054, 17189407, 11673832, 12649172, 14499691, 14581353, 14666705, 15021776, 15256466, 15476268, 15511476, 15800944, 16490596, 16815198, 16818711, 17200208, 17350323, 17416856, 17704947, 17888033, 17936675, 18061531, 18199957, 18199961, 18225590, 18528705, 15300196, 15824739, 17201146, 17384682, 18410404, 16888677, 18485796, 14581353, 16357156, 17097223, 17693665, 18376308, 18335186, 18326020, 11839717, 11872961, 12855631, 12901728, 12949987, 15213307, 15648181, 16492917, 16722928, 17144524, 17785205, 18334025, 18447972, 17030811, 18288099, 11297621, 11401316, 11502798, 11735811, 11773428, 12047763, 12075083, 12119278, 12203792, 12224530, 12714585, 14574011, 15231710, 15543611, 15680400, 15684005, 15707585, 15800944, 15831044, 15911105, 15975525, 16075977, 16738322, 16889486, 16946009, 16964417, 17067457, 17283127, 17345711, 17898811, 17958724, 17970065, 18260377, 18281487, 15221937, 16807070, 16888677, 17362036, 17492757, 17940507, 18224251, 18347248, 11162590, 11224600, 11244819, 11420458, 12447651, 15571955, 16001430, 16271081, 16302195, 16564229, 17429099, 17474247, 18447972, 18184455, 17145757, 12239610, 12112307, 15713710, 16531763, 16676365, 15239400, 12532415, 14581353, 15896313, 16002527, 16778075, 17974918, 11368094, 11911252, 14499691, 16807070, 18000363, 16467079, 16676402, 11470749, 11859213, 11958128, 12649172, 14499691, 14581353, 14586645, 14603450, 14697637, 15195525, 15846092, 16001430, 16235239, 16446704, 16446704, 16490596, 16807070, 16815198, 16906560, 16954163, 17065789, 17487429, 17641416, 18251939, 18398822, 18405350, 15942670, 17722957, 18497982, 12539049, 16219138, 12377414, 14586645, 15083191, 15975525, 16623759, 17258495, 18087199, 18403638, 18447972, 11807777, 14574011, 14647419, 14689060, 15107617, 15300854, 16466850, 16623759, 17724471, 11807777, 12810651, 14574011, 14647419, 14689060, 15105900, 15300854, 16466850, 17321670, 18325101, 11555590, 12579297, 12632081, 15073103, 15073117, 15289362, 15840741, 16263813, 17201146, 17724139, 12161532, 16407850, 16596245, 16788944, 16837618, 18426913, 15703834, 16172218, 16434257, 17067458, 18485790, 11605053, 12075207, 15165306, 11272092, 15645429, 16525614, 12670889, 12907632, 14508525, 15161700, 15195111, 15613458, 15630448, 15681856, 15761501, 15947100, 16254036, 16402937, 16434896, 16444351, 16533790, 16555619, 16728576, 16818623, 16906516, 16932252, 16946010, 17097223, 17131411, 17179987, 17435680, 17525478, 17545628, 17575107, 17638058, 17684930, 17725429, 17786355, 17891234, 17891251, 17968324, 17989125, 18043251, 18251569, 18376308, 18437172, 11390535, 11445847, 11445859, 11916556, 12589859, 12673364, 12673679, 12702551, 12708486, 12935924, 14689060, 15240783, 15810068, 15965904, 16012721, 16393249, 16455286, 16682429, 16713672, 16847809, 16903330, 16969480, 17258495, 17312781, 17565818, 17638058, 17693665, 17725429, 17908957, 11180160, 11564579, 11854069, 12212108, 12429646, 12447651, 12539309, 12747978, 16027075, 16248248, 17139501, 17340131, 17477349, 17487385, 16676365, 12632081, 14555508, 14767526, 15083191, 15300854, 15452164, 15676154, 15931783, 16231369, 16827152, 16899597, 11531258, 11721631, 11820589, 11850840, 11859706, 11937319, 11948421, 12052755, 12089228, 12110345, 12160248, 12527938, 12563945, 12605367, 12658736, 12747978, 12926130, 14694526, 14720195, 15028021, 15200480, 15448710, 15693850, 16142358, 16369916, 16564229, 16734736, 17214352, 17273794, 17321453, 17362036, 17416856, 17651783, 17671677, 18053639, 18332873, 18485798, 12060625, 12209716, 12952364, 15546158, 15610403, 15867212, 15940269, 16368780, 16478646, 16596245, 17018615, 17023741, 11796486, 12036945, 12966732, 14696419, 15118916, 18326020, 16369533, 11299759, 15355904, 16278815, 17639052, 18367874, 12632081, 17673925, 14581353, 16434257, 17017004, 17067458, 17318376, 15226608, 11173137, 11221831, 11235991, 11303632, 11350885, 11389080, 11448349, 11479234, 11556855, 11568571, 11597399, 11597400, 11668514, 11673692, 11673832, 11677653, 11706397, 11706420, 11727507, 11728233, 11751491, 11755824, 11846729, 11890870, 11893453, 11895923, 11904986, 11905034, 11911252, 11920518, 11939730, 11992543, 12011992, 12063543, 12112535, 12138239, 12142091, 12147092, 12167415, 12174340, 12187077, 12202783, 12220351, 12228201, 12414665, 12415634, 12422310, 12422313, 12440226, 12509799, 12512382, 12515612, 12520461, 12541404, 12544258, 12583831, 12587379, 12599217, 12607604, 12647989, 12673202, 12696248, 12738995, 12743152, 12782602, 12782800, 12820779, 12826036, 12833132, 12860957, 12865874, 12912971, 12952019, 12966511, 13129707, 13679857, 14500405, 14519647, 14528090, 14530163, 14581353, 14581378, 14601066, 14603452, 14607328, 14612544, 14649542, 14662414, 14732836, 14751528, 14763138, 14967456, 14967457, 14967462, 14977086, 14981927, 14988746, 14997212, 15057134, 15103197, 15115300, 15120370, 15142631, 15161032, 15173005, 15194221, 15197768, 15199094, 15208356, 15212612, 15231207, 15238978, 15254682, 15256466, 15338866, 15450723, 15473298, 15476268, 15520175, 15520205, 15592685, 15599851, 15608420, 15613446, 15623643, 15638964, 15652339, 15659782, 15672286, 15717992, 15736426, 15753456, 15756022, 15774576, 15785737, 15791567, 15796181, 15800944, 15804620, 15809707, 15816106, 15821783, 15827337, 15833860, 15865067, 15871288, 15878750, 15878755, 15887238, 15923166, 15930290, 15934280, 15986037, 15987992, 16004931, 16005600, 16007067, 16050785, 16082192, 16088519, 16103303, 16140980, 16144930, 16158919, 16161046, 16183941, 16198049, 16207530, 16258434, 16264262, 16273222, 16287490, 16314626, 16330971, 16343364, 16357156, 16428508, 16472704, 16488438, 16495180, 16540898, 16551906, 16552236, 16562649, 16565089, 16630292, 16641105, 16644882, 16702519, 16722544, 16731604, 16737616, 16740767, 16750322, 16757203, 16763281, 16788977, 16807070, 16818711, 16857823, 16890793, 16904111, 16919867, 16922611, 16984384, 16986486, 17078054, 17079462, 17096332, 17098420, 17121916, 17122988, 17134359, 17141073, 17143494, 17178880, 17189989, 17200208, 17205528, 17208308, 17211865, 17224925, 17236202, 17250463, 17258495, 17273794, 17310348, 17369752, 17404024, 17410004, 17412519, 17431103, 17487368, 17520580, 17520766, 17538163, 17591829, 17591832, 17592548, 17608727, 17609492, 17618045, 17631646, 17638894, 17653341, 17660872, 17671674, 17674766, 17685120, 17697551, 17723181, 17762933, 17826531, 17848272, 17848290, 17877424, 17878104, 17888033, 17904355, 17909831, 17936670, 17936675, 17940077, 17940507, 17949783, 17956162, 17961551, 17964995, 17974918, 17996216, 18025070, 18045070, 18045071, 18061531, 18172732, 18199957, 18202792, 18203445, 18225590, 18236164, 18248834, 18268492, 18302259, 18307254, 18309947, 18316548, 18326051, 18329328, 18366301, 18369180, 18377832, 18383530, 18413807, 18442098, 18636200, 18645125, 11221865, 11577171, 11724302, 11746990, 11821780, 11932901, 12457722, 12839965, 12890744, 15239028, 15522186, 15684005, 15870861, 15897145, 16027075, 16136747, 16644882, 16821595, 16895604, 17037022, 17693665, 18167129, 18357366, 18365557, 11267947, 11453659, 11555592, 11585773, 12017338, 12480548, 15543230, 15833870, 16248248, 16422547, 16452236, 16496417, 11453659, 12097237, 12480548, 16952836, 17177999, 17635577, 18438866, 15195113, 16001430, 17131411, 18044981, 15947106, 15947937, 15988378, 17427103, 17879040, 18329107, 16224217, 16618910, 17548352, 18311783, 11309301, 11801549, 12104047, 15073103, 15289362, 15635575, 15870861, 16043385, 16170165, 16477636, 16685400, 16791592, 16849682, 16889486, 17317827, 17479411, 17487405, 17785562, 17786935, 18199718, 14499691, 17513510, 17961551"
5,CDKN2B,DELETION,0.0,0.0191896189995049,CDKN2B,"12632081, 17673925",2.0,"MDM2, SMAD3, CDK4, MTAP, SMAD2, CDKN1B, CDK6, CCND1, CCND2, TP53, MYC, CDK2, CDKN1A, SMAD4, CDKN2A, SP1",16.0,"11368094, 11911252, 14499691, 16807070, 18000363, 12434298, 12475396, 15958520, 16792505, 12112307, 15713710, 16531763, 16676365, 11309301, 11720478, 12459644, 12632081, 12684406, 14586645, 14654786, 14991744, 15083191, 15495191, 16278815, 16713672, 16849682, 17079134, 17117177, 18413807, 11267947, 11453659, 11555592, 11585773, 12017338, 12480548, 15543230, 15833870, 16248248, 16422547, 16452236, 16496417, 12161532, 16407850, 16596245, 16788944, 16837618, 18426913, 11453659, 12097237, 12480548, 16952836, 17177999, 17635577, 18438866, 11410498, 12499250, 16407850, 16478646, 16596245, 16788944, 16837618, 17217620, 16224217, 16618910, 17548352, 11180160, 11564579, 11854069, 12212108, 12429646, 12447651, 12539309, 12747978, 16027075, 16248248, 17139501, 17340131, 17477349, 17487385, 11390535, 11445847, 11445859, 11916556, 12589859, 12673364, 12673679, 12702551, 12708486, 12935924, 14689060, 15240783, 15810068, 15965904, 16012721, 16393249, 16455286, 16682429, 16713672, 16847809, 16903330, 16969480, 17258495, 17312781, 17565818, 17638058, 17693665, 17725429, 17908957, 11531258, 11721631, 11820589, 11850840, 11859706, 11937319, 11948421, 12052755, 12089228, 12110345, 12160248, 12527938, 12563945, 12605367, 12658736, 12747978, 12926130, 14694526, 14720195, 15028021, 15200480, 15448710, 15693850, 16142358, 16369916, 16564229, 16734736, 17214352, 17273794, 17321453, 17362036, 17416856, 17651783, 17671677, 18053639, 18332873, 18485798, 11299759, 17030811, 18288099, 12060625, 12209716, 12952364, 15546158, 15610403, 15867212, 15940269, 16368780, 16478646, 16596245, 17018615, 17023741, 11470749, 11859213, 11958128, 12649172, 14499691, 14581353, 14586645, 14603450, 14697637, 15195525, 15846092, 16001430, 16235239, 16446704, 16446704, 16490596, 16807070, 16815198, 16906560, 16954163, 17065789, 17487429, 17641416, 18251939, 18398822, 18405350"
6,CLDN1,AMPLIFICATION,4.2419726156021995e-197,0.0043610886125468,CLDN1,"15170668, 17091452",2.0,"CLDN3, CDH1, CTNNB1, CD9, EPHA2",5.0,"16685400, 14559986, 14735195, 15041054, 12494475, 16309192, 18030354, 18425361, 18485799, 11555590, 12579297, 12632081, 15073103, 15073117, 15289362, 15840741, 16263813, 17201146, 17724139, 15195113, 16001430, 17131411, 18044981"
7,COL11A1,SOMATIC,1.5777323720244649e-15,0.005960073448722,COL11A1,15023835,1.0,"MMP11, COL5A1, COL1A2, COL6A2, COL4A1, DDR2",6.0,"18254958, 17914555, 17786355, 18023033, 17504990, 39138492, 12680208, 17091452"
8,CSMD3,SOMATIC,5.936981595700065e-36,0.005960073448722,CSMD3,12906867,1.0,"ANXA13, LRP1B",2.0,"15172977, 16857411, 16918994, 18000363"
9,DCC,SOMATIC,0.0165073700948121,0.005960073448722,DCC,"11603424, 12374684, 16400327",3.0,"FYN, SRC, CASP9",3.0,"17961551, 12543167, 12771142"
