,gene_name,MUT_TYPE,q_value,empirical_q_value,GENE,PMID,NUMBER_OF_ARTICLES
0,BCL6,AMPLIFICATION,1.1060251600493613e-54,0.0116086711831392,BCL6,"11224600, 11420458, 14685876, 17429099",4.0
1,CLDN1,AMPLIFICATION,6.591105366473553e-53,0.0116086711831392,CLDN1,"15170668, 17091452",2.0
2,FANCB,DELETION,3.07824363509455e-08,0.0253930555817348,FANCB,17409780,1.0
3,PIK3CA,"AMPLIFICATION, SOMATIC","4.9013845356499375e-54, 4.6307549428396854e-18","0.0116086711831392, 0.0",PIK3CA,"11358835, 11836556, 11959846, 14581353, 15543611, 15586224, 15700036, 16380997, 16676365, 16807070, 16815198, 17549376, 17848307, 17989125, 17990317, 18376308, 18447972",17.0
4,RFC4,AMPLIFICATION,4.9013845356499375e-54,0.0116086711831392,RFC4,16467079,1.0
5,SOX2,AMPLIFICATION,1.2920437544143294e-55,0.0116086711831392,SOX2,15942670,1.0
6,STS,DELETION,3.07824363509455e-08,0.0253930555817348,STS,11746990,1.0
7,TLR7,DELETION,3.07824363509455e-08,0.0253930555817348,TLR7,17201162,1.0
