ehr_drug,gene_drug,xgb_importance,xgb_absolute_importance,gene_connected_to,gene_connected_literature_support,gene_root_gene,gene_root_gene_Mut_type,gene_root_gene_q_value,gene_root_gene_empirical_q_value,gene_root_literature_support
LEVOTHYROXINE,LEVOTHYROXINE,0.044148307,0.044148307,THRB,17210745,PIK3CA,"AMPLIFICATION, SOMATIC","4.9013845356499375e-54, 4.6307549428396854e-18","0.0116086711831392, 0.0","11358835, 11836556, 11959846, 14581353, 15543611, 15586224, 15700036, 16380997, 16676365, 16807070, 16815198, 17549376, 17848307, 17989125, 17990317, 18376308, 18447972"
HEPARIN,HEPARIN,0.009594458,0.009594458,FGFR1,"11562460, 15165306, 16807070, 17545628, 18059337",PIK3CA,"AMPLIFICATION, SOMATIC","4.9013845356499375e-54, 4.6307549428396854e-18","0.0116086711831392, 0.0","11358835, 11836556, 11959846, 14581353, 15543611, 15586224, 15700036, 16380997, 16676365, 16807070, 16815198, 17549376, 17848307, 17989125, 17990317, 18376308, 18447972"
HEPARIN,HEPARIN,0.009594458,0.009594458,FGFR4,11562460,PIK3CA,"AMPLIFICATION, SOMATIC","4.9013845356499375e-54, 4.6307549428396854e-18","0.0116086711831392, 0.0","11358835, 11836556, 11959846, 14581353, 15543611, 15586224, 15700036, 16380997, 16676365, 16807070, 16815198, 17549376, 17848307, 17989125, 17990317, 18376308, 18447972"
HEPARIN,HEPARIN,0.009594458,0.009594458,FGFR2,"12075207, 12569015",PIK3CA,"AMPLIFICATION, SOMATIC","4.9013845356499375e-54, 4.6307549428396854e-18","0.0116086711831392, 0.0","11358835, 11836556, 11959846, 14581353, 15543611, 15586224, 15700036, 16380997, 16676365, 16807070, 16815198, 17549376, 17848307, 17989125, 17990317, 18376308, 18447972"
HEPARIN,HEPARIN,0.009594458,0.009594458,FGF4,"12429977, 15942670, 17016592, 17487429, 18405350",SOX2,AMPLIFICATION,1.2920437544143294e-55,0.0116086711831392,15942670
DEXAMETHASONE,DEXAMETHASONE,0.008128837,0.008128837,ANXA1,"16270603, 16627980, 16899607",SOX2,AMPLIFICATION,1.2920437544143294e-55,0.0116086711831392,15942670
